Date,Open,High,Low,Close,Adj Close,Volume
2015/04/16,7705.46,7976.12,7607.40,7912.09,7912.09,143246059
2015/04/17,7979.35,8032.08,7925.74,7980.76,7980.76,191109824
2015/04/20,7967.03,8051.47,7801.03,7839.90,7839.90,214596065
2015/04/21,7852.51,8113.02,7846.61,8112.69,8112.69,169810409
2015/04/22,8180.12,8333.82,8179.30,8323.43,8323.43,199156922
2015/04/23,8371.85,8447.92,8275.13,8410.70,8410.70,197994963
2015/04/24,8321.33,8453.34,8256.20,8419.09,8419.09,183527676
2015/04/27,8503.57,8576.48,8413.23,8513.02,8513.02,185685531
2015/04/28,8533.67,8543.33,8187.15,8266.48,8266.48,184257625
2015/04/29,8248.31,8449.70,8204.73,8428.25,8428.25,145074727
2015/04/30,8460.39,8551.46,8458.60,8469.67,8469.67,146653891
2015/05/04,8493.96,8532.65,8381.37,8510.48,8510.48,136204601
2015/05/05,8501.12,8501.12,8160.66,8199.34,8199.34,144224275
2015/05/06,8220.60,8359.30,8012.48,8083.00,8083.00,129313935
2015/05/07,8043.01,8076.23,7886.36,7903.48,7903.48,112570941
2015/05/08,7989.34,8201.80,7983.83,8201.29,8201.29,118887574
2015/05/11,8292.63,8558.80,8242.10,8558.22,8558.22,148572310
2015/05/12,8595.08,8746.21,8564.66,8745.68,8745.68,165849063
2015/05/13,8719.58,8909.58,8643.43,8824.93,8824.93,174986441
2015/05/14,8829.83,8878.47,8725.30,8813.39,8813.39,149017853
2015/05/15,8790.01,8828.11,8626.23,8742.88,8742.88,143713577
2015/05/18,8725.41,8929.94,8698.90,8903.59,8903.59,140445390
2015/05/19,8927.39,9125.51,8904.19,9124.83,9124.83,151754592
2015/05/20,9176.03,9429.22,9173.40,9277.33,9277.33,190955967
2015/05/21,9320.84,9620.09,9320.23,9619.22,9619.22,187177992
2015/05/22,9756.53,9821.81,9547.42,9778.17,9778.17,222507872
2015/05/25,9717.51,10040.71,9659.32,10040.09,10040.09,228463954
2015/05/26,10117.73,10373.84,10046.24,10373.58,10373.58,238514276
2015/05/27,10421.30,10539.75,10192.18,10497.34,10497.34,232612180
2015/05/28,10501.36,10637.92,9860.55,9868.42,9868.42,258094075
2015/05/29,9846.39,10140.10,9433.09,9966.84,9966.84,198772638
2015/06/01,10067.53,10488.89,10067.53,10488.31,10488.31,186016136
2015/06/02,10592.75,10887.88,10541.28,10886.40,10886.40,213234225
2015/06/03,10973.96,11055.21,10674.07,10979.99,10979.99,209059570
2015/06/04,10986.42,11023.34,10269.04,10965.41,10965.41,211460189
2015/06/05,11117.36,11236.15,10887.17,11144.52,11144.52,248874600
2015/06/08,11157.18,11157.18,10860.39,11030.92,11030.92,235630581
2015/06/09,11009.88,11089.20,10861.58,11013.74,11013.74,185184469
2015/06/10,10947.49,11319.91,10830.33,11208.06,11208.06,184590364
2015/06/11,11220.07,11367.63,11155.95,11366.29,11366.29,190367981
2015/06/12,11424.33,11616.38,11400.65,11545.89,11545.89,210655587
2015/06/15,11589.95,11616.35,11304.04,11332.89,11332.89,205877379
2015/06/16,11205.75,11205.75,10768.62,10879.84,10879.84,179503841
2015/06/17,10865.39,11133.11,10497.69,11100.55,11100.55,160039587
2015/06/18,11093.30,11178.32,10714.33,10731.38,10731.38,154351939
2015/06/19,10475.92,10601.04,9968.99,9987.41,9987.41,137848611
2015/06/23,9951.78,10074.83,9333.91,10046.88,10046.88,141045839
2015/06/24,10136.25,10271.23,9950.62,10267.63,10267.63,158209439
2015/06/25,10298.56,10343.05,9771.89,9906.10,9906.10,164073383
2015/06/26,9571.55,9603.13,9059.36,9078.06,9078.06,145076586
2015/06/29,9267.03,9281.17,8339.33,8484.64,8484.64,181652778
2015/06/30,8302.18,8912.40,7882.33,8906.02,8906.02,195568535
