Date,Open,High,Low,Close,Adj Close,Volume
2017/05/15,8.05,9.77,8.05,9.77,100074,1337841.00
2017/05/16,10.80,10.80,10.80,10.80,58989,870678.00
2017/05/17,11.94,11.94,11.94,11.94,58430,948903.00
2017/05/18,13.18,13.18,13.18,13.18,233200,4164952.00
2017/05/19,14.56,14.56,13.60,13.62,111511896,2108598016.00
2017/05/22,12.45,12.90,12.21,12.21,65131659,1099175296.00
2017/05/23,11.79,12.20,11.47,11.68,46839275,752417536.00
2017/05/24,11.79,12.20,11.68,11.98,36620455,594178432.00
2017/05/25,11.86,11.89,11.10,11.37,45425145,705719808.00
2017/05/26,11.30,12.12,11.16,11.68,47316138,747653184.00
2017/05/31,12.21,12.78,11.81,11.82,48685724,809093184.00
2017/06/01,11.45,11.56,10.88,10.92,37473904,572748416.00
2017/06/02,10.81,11.19,10.63,11.08,22549203,337218528.00
2017/06/05,11.25,11.29,10.98,11.02,22693889,344640832.00
2017/06/06,10.78,10.95,10.78,10.90,16095414,238659856.00
2017/06/07,10.93,11.27,10.86,11.25,27577217,419626784.00
2017/06/08,11.20,11.25,10.92,10.97,26445021,399587136.00
2017/06/09,10.98,11.03,10.80,10.90,15280310,227249200.00
2017/06/12,10.75,10.79,10.41,10.42,19529596,283608256.00
2017/06/13,10.46,10.68,10.43,10.60,12032731,173767200.00
2017/06/14,10.54,10.58,10.37,10.38,13064012,186691152.00
2017/06/15,10.37,10.63,10.36,10.56,16191021,233625344.00
2017/06/16,10.58,10.58,10.42,10.45,10298516,147595472.00
2017/06/19,10.48,10.51,10.43,10.50,7969019,114176040.00
2017/06/20,10.52,10.78,10.47,10.61,17873962,259834880.00
2017/06/21,10.63,10.68,10.50,10.55,10517316,152173264.00
2017/06/22,10.57,10.58,10.28,10.30,13801059,197107840.00
2017/06/23,10.24,10.30,9.92,10.10,13967918,193487856.00
2017/06/26,10.06,10.19,9.96,10.13,9348057,129131184.00
2017/06/27,10.12,10.25,10.06,10.12,7642225,106378416.00
2017/06/28,10.09,10.09,9.98,9.98,7501786,103090288.00
2017/06/29,10.08,10.18,10.05,10.08,7650780,105916824.00
2017/06/30,10.02,10.18,9.96,10.12,10046363,138917488.00
2017/07/03,10.13,10.33,10.12,10.30,12424335,174907888.00
2017/07/04,10.32,10.32,10.19,10.23,7966868,111840264.00
2017/07/05,10.21,10.42,10.21,10.40,14985570,212672576.00
2017/07/06,10.45,10.48,10.29,10.33,12731525,180836624.00
2017/07/07,10.34,10.48,10.32,10.42,13740640,196101136.00
2017/07/10,10.36,10.36,10.18,10.20,14527217,204054288.00
2017/07/11,10.20,10.28,10.02,10.03,10104006,140200304.00
2017/07/12,10.02,10.09,9.80,9.96,10104410,137603280.00
2017/07/13,9.94,10.02,9.92,9.96,5832902,79750288.00
2017/07/14,9.96,9.98,9.88,9.89,4849344,66026744.00
2017/07/17,9.85,9.88,8.97,9.02,16332791,208151664.00
2017/07/18,9.14,9.18,9.02,9.13,8104278,101827328.00
2017/07/19,9.13,9.25,9.07,9.22,8630026,109202304.00
2017/07/20,9.24,9.42,9.22,9.27,9540123,122731472.00
2017/07/21,9.24,9.31,9.19,9.22,6748723,85874896.00
2017/07/24,9.25,9.32,9.18,9.28,6509829,82941920.00
2017/07/25,9.29,9.32,9.18,9.22,5013594,63818380.00
2017/07/26,9.22,9.35,9.20,9.28,8342730,106673024.00
2017/07/27,9.30,9.45,9.15,9.44,13050854,167812112.00
2017/07/28,9.41,9.43,9.31,9.33,8049678,103653200.00
2017/07/31,9.35,9.36,9.28,9.32,6056674,77732912.00
2017/08/01,9.31,9.33,9.24,9.33,7393829,94572480.00
2017/08/02,9.34,9.35,9.23,9.23,6699423,85564120.00
2017/08/03,9.22,9.33,9.20,9.25,5878060,74930880.00
2017/08/04,9.28,9.38,9.24,9.25,8773472,112480240.00
2017/08/07,9.27,9.32,9.16,9.24,6021046,76495648.00
2017/08/08,9.22,9.81,9.18,9.68,28230332,370766496.00
2017/08/09,9.61,9.67,9.45,9.47,14149882,185110816.00
2017/08/10,9.43,9.55,9.38,9.44,10008497,130451696.00
2017/08/11,9.37,9.42,9.25,9.25,7831636,100612272.00
2017/08/14,9.27,9.41,9.23,9.36,5157771,66385868.00
2017/08/15,9.38,9.42,9.31,9.37,6032025,77760664.00
2017/08/16,9.39,9.62,9.35,9.53,12774131,167191776.00
2017/08/17,9.50,9.57,9.46,9.55,7238374,94714616.00
2017/08/18,9.54,9.54,9.45,9.47,5646927,73680048.00
2017/08/21,9.47,9.64,9.47,9.59,8335166,109885816.00
2017/08/22,9.59,9.65,9.55,9.61,8279971,109362920.00
2017/08/23,9.63,9.63,9.48,9.54,6626917,87050760.00
2017/08/24,9.54,9.61,9.43,9.45,8103385,106110776.00
2017/08/25,9.45,9.75,9.39,9.65,13932356,184409024.00
2017/08/28,9.69,9.95,9.65,9.85,21309773,286983456.00
2017/08/29,9.90,10.39,9.87,10.12,35100125,485934624.00
2017/08/30,10.12,10.12,9.90,9.92,16316428,223635872.00
2017/08/31,9.87,10.16,9.87,10.12,16715929,230420512.00
2017/09/01,10.15,10.19,10.01,10.04,12376017,170889456.00
2017/09/04,10.05,10.12,9.91,9.94,10603750,145385744.00
2017/09/05,9.92,10.01,9.85,9.87,9872274,134314112.00
2017/09/06,9.88,10.05,9.83,10.02,13236324,180428208.00
2017/09/07,10.06,10.13,9.92,9.93,11199784,154173920.00
2017/09/08,9.94,9.94,9.78,9.82,7387738,99948608.00
2017/09/11,9.95,10.37,9.95,10.28,28048005,392376096.00
2017/09/12,10.17,10.38,10.04,10.24,23901889,333604096.00
2017/09/13,10.22,10.81,10.16,10.68,40276006,585445760.00
2017/09/14,10.52,10.80,10.45,10.56,21996078,319472608.00
2017/09/15,10.57,11.13,10.52,10.93,33311779,494880672.00
2017/09/18,11.18,11.36,10.80,10.95,26710865,400539136.00
2017/09/19,10.88,11.06,10.65,10.68,18422559,271166528.00
2017/09/20,10.68,10.85,10.58,10.75,10308680,151085664.00
2017/09/21,10.70,11.12,10.60,10.98,26499283,396357248.00
2017/09/22,10.90,11.22,10.86,10.98,17389061,262605824.00
2017/09/25,11.10,11.19,10.45,10.47,16610036,244843744.00
2017/09/26,10.45,10.69,10.39,10.64,10869589,157053296.00
2017/09/27,10.65,10.77,10.55,10.64,7915915,115491552.00
2017/09/28,10.77,10.94,10.64,10.82,11045903,163239760.00
2017/09/29,10.80,10.92,10.69,10.78,7124758,104938128.00
2017/10/09,10.92,11.20,10.78,11.05,16084696,242118368.00
2017/10/10,11.06,11.81,10.97,11.58,27454825,427923776.00
2017/10/11,11.46,11.95,11.46,11.75,26163047,417290880.00
2017/10/12,11.59,11.79,11.38,11.52,15126701,238417184.00
2017/10/13,11.45,11.82,11.42,11.78,13731861,218198864.00
2017/10/16,12.05,13.02,11.72,11.73,38876059,648771520.00
2017/10/17,11.42,11.58,11.01,11.28,25673298,394332416.00
2017/10/18,11.22,12.14,11.03,11.33,26618449,418881024.00
2017/10/19,11.32,11.59,11.01,11.15,18132941,278358368.00
2017/10/20,11.02,11.25,10.84,11.18,13936484,209640880.00
2017/10/23,11.12,11.28,10.97,11.05,10879124,164647600.00
2017/10/24,11.02,11.10,10.62,10.88,17157932,253958752.00
2017/10/25,10.78,10.95,10.72,10.83,10104912,149588512.00
2017/10/26,10.81,11.02,10.70,10.94,10393013,154739952.00
2017/10/27,10.92,11.15,10.92,11.03,10779884,162631296.00
2017/10/30,11.03,11.10,10.35,10.43,13543686,196004032.00
2017/10/31,10.44,10.56,10.38,10.55,6659964,95423848.00
2017/11/01,10.52,10.66,10.45,10.48,5404566,77915064.00
2017/11/02,10.47,10.49,10.36,10.40,5249541,74827344.00
2017/11/03,10.33,10.41,9.87,9.92,12209498,168831584.00
2017/11/06,9.94,10.03,9.72,10.02,7601005,103051152.00
2017/11/07,9.96,10.14,9.95,10.07,5584934,77105368.00
2017/11/08,10.11,10.34,10.06,10.20,6861061,96040832.00
2017/11/09,10.18,10.18,9.93,10.05,5909527,81452720.00
2017/11/10,10.03,10.10,9.91,10.05,5370627,73888360.00
2017/11/13,10.06,10.20,9.98,10.14,4682010,64909124.00
2017/11/14,10.15,10.15,9.75,9.81,8000525,109000256.00
2017/11/15,9.82,9.87,9.47,9.52,8977776,118861656.00
2017/11/16,9.54,9.70,9.48,9.54,6356589,83658888.00
2017/11/17,9.60,9.83,9.37,9.45,10273837,136049344.00
2017/11/20,9.45,9.85,9.39,9.83,8624153,114261912.00
2017/11/21,9.83,10.03,9.72,10.02,10429462,142493472.00
2017/11/22,9.92,10.04,9.78,9.89,6426616,87246016.00
2017/11/23,9.88,9.88,9.60,9.61,5600276,75079072.00
2017/11/24,9.57,9.67,9.21,9.32,8858844,114566440.00
2017/11/27,9.34,9.57,9.21,9.35,5410933,69947344.00
2017/11/28,9.42,9.82,9.41,9.78,8217338,109083888.00
2017/11/29,9.75,9.92,9.61,9.82,7291663,97789320.00
2017/11/30,9.95,10.14,9.85,9.92,12344308,169361568.00
2017/12/01,9.87,10.22,9.83,10.15,10577531,145999008.00
2017/12/04,10.20,10.20,9.87,9.96,9464492,129996360.00
2017/12/05,10.00,10.07,9.55,9.70,8833335,119214232.00
2017/12/06,9.65,10.37,9.58,10.30,17909372,248406336.00
2017/12/07,10.21,10.42,10.14,10.41,13040741,184141728.00
2017/12/08,10.37,10.63,10.28,10.33,17260325,247360688.00
2017/12/11,10.41,10.67,10.25,10.65,17081897,243679152.00
2017/12/12,10.60,10.88,10.55,10.59,19997796,292997216.00
2017/12/13,10.38,10.59,10.37,10.50,10625139,152171968.00
2017/12/14,10.49,10.79,10.43,10.75,14831388,216513552.00
2017/12/15,10.67,10.88,10.56,10.86,15096356,221624848.00
2017/12/18,10.91,10.95,10.48,10.52,14894720,218766528.00
2017/12/19,10.52,10.63,10.26,10.62,12923987,184840368.00
2017/12/20,10.58,10.88,10.54,10.78,17084117,251116048.00
2017/12/21,10.68,10.69,10.34,10.55,14822397,213159216.00
2017/12/22,10.50,10.62,10.38,10.54,9503458,136387488.00
2017/12/25,10.57,10.90,10.55,10.89,23814948,350086464.00
2017/12/26,10.81,11.15,10.75,11.04,26010096,388865440.00
2017/12/27,11.02,11.02,10.72,10.76,19089337,282514944.00
2017/12/28,10.77,10.87,10.61,10.82,13449268,197668960.00
2017/12/29,10.82,10.82,10.25,10.32,20013357,286674528.00
2018/01/02,10.32,10.37,9.77,9.88,22351520,304363072.00
2018/01/03,9.85,9.98,9.71,9.96,15448136,208750576.00
2018/01/04,9.91,9.94,9.79,9.82,11150687,150804832.00
2018/01/05,9.82,9.92,9.77,9.85,10075909,136507744.00
2018/01/08,9.85,9.85,9.52,9.66,14617468,193470192.00
2018/01/09,9.63,9.74,9.59,9.61,8106450,107565864.00
2018/01/10,9.58,9.65,9.45,9.64,9398034,123696104.00
2018/01/11,9.59,9.72,9.53,9.70,8432610,111873128.00
2018/01/12,9.72,9.77,9.50,9.54,10528999,139214608.00
